frame_no,team_name,team_score,striker_name,striker_runs,striker_balls,non_striker_name,non_striker_runs,non_striker_balls,bowler_name,bowler_runs,wickets,overs,runrate,reqrun,speed,action
00000,SL,7/138,GUNARATHNE,47,N/A,KULASEKARA,12,0,HENRIQUES,16,0,N/A,N/A,N/A,N/A,N/A
00001,SL,7/138,GUNARATHNE,47,36,KULASEKARA,12,0,HENRIQUES,16,0,N/A,7.67,18.00,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 12 BALLS
00002,SL,7/138,GUNARATHNE,47,36,KULASEKARA,12,0,HENRIQUES,16,0,N/A,7.67,18.00,118.4KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 12 BALLS
00003,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,18.1,7.60,19.64,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00004,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,18.1,7.60,19.64,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00005,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00006,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00007,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00008,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00009,SL,7/139,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00010,SL,7/139,GUNARATHNE,47,37,KULASEKARA,12,0,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00011,SL,7/144,GUNARATHNE,53,38,KULASEKARA,12,7,HENRIQUES,22,0,18.2,7.85,1,N/A,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00012,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,18.2,7.85,18.00,N/A,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00013,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,18.2,7.85,18.00,N/A,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00014,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00015,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00016,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00017,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00018,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00019,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00020,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00021,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
